Name;Category;Action;Block Keywords;Block File Types;Bandwidth Optimizer
Default;Office - Documents;Permit;false;;Do not block based on bandwidth
Default;Office - Drive;Permit;false;;Do not block based on bandwidth
Default;Office - Mail;Permit;false;;Do not block based on bandwidth
Default;Online Brokerage and Trading;Block;false;;Do not block based on bandwidth
Default;Organizational Email;Quota;false;;Do not block based on bandwidth
Default;Parked Domain;Block;false;;Do not block based on bandwidth
Default;Pay-to-Surf;Block;false;;Do not block based on bandwidth
Default;Peer-to-Peer File Sharing;Block;false;;Do not block based on bandwidth
Default;Personal Network Storage and Backup;Block;false;;Do not block based on bandwidth
Default;Personals and Dating;Quota;false;;Do not block based on bandwidth
Default;Phishing and Other Frauds;Block;false;;Do not block based on bandwidth
Default;Political Organizations;Block;false;;Do not block based on bandwidth
Default;Potentially Exploited Documents;Block;false;;Do not block based on bandwidth
Default;Potentially Unwanted Software;Block;false;;Do not block based on bandwidth
Default;Prescribed Medications;Permit;false;;Do not block based on bandwidth
Default;Private IP Addresses;Permit;false;;Do not block based on bandwidth
Default;Pro-Choice;Quota;false;;Do not block based on bandwidth
Default;Productivity;Permit;false;;Do not block based on bandwidth
Default;Professional and Worker Organizations;Permit;false;;Do not block based on bandwidth
Default;Pro-Life;Quota;false;;Do not block based on bandwidth
Default;Proxy Avoidance;Block;false;;Do not block based on bandwidth
Default;Real Estate;Permit;false;;Do not block based on bandwidth
Default;Reference Materials;Permit;false;;Do not block based on bandwidth
Default;Religion;Quota;false;;Do not block based on bandwidth
Default;Restaurants and Dining;Quota;false;;Do not block based on bandwidth
Default;Search Engines and Portals;Permit;false;;Do not block based on bandwidth
Default;Security;Block;false;;Do not block based on bandwidth
Default;Service and Philanthropic Organizations;Permit;false;;Do not block based on bandwidth
Default;Sex;Block;false;;Do not block based on bandwidth
Default;Sex Education;Permit;false;;Do not block based on bandwidth
Default;Shopping;Permit;false;;Do not block based on bandwidth
Default;Social and Affiliation Organizations;Permit;false;;Do not block based on bandwidth
Default;Social Networking;Quota;false;;Do not block based on bandwidth
Default;Social Organizations;Permit;false;;Do not block based on bandwidth
Default;Social Web - Facebook;Quota;false;;Do not block based on bandwidth
Default;Social Web - LinkedIn;Quota;false;;Do not block based on bandwidth
Default;Social Web - Twitter;Quota;false;;Do not block based on bandwidth
Default;Social Web - Various;Permit;false;;Do not block based on bandwidth
Default;Social Web - YouTube;Quota;false;;Do not block based on bandwidth
Default;Society and Lifestyles;Quota;false;;Do not block based on bandwidth
Default;Special Events;Quota;false;;Do not block based on bandwidth
Default;Sport Hunting and Gun Clubs;Quota;false;;Do not block based on bandwidth
Default;Sports;Quota;false;;Do not block based on bandwidth
Default;Spyware;Block;false;;Do not block based on bandwidth
Default;Streaming Media;Quota;false;;Do not block based on bandwidth
Default;Surveillance;Quota;false;;Do not block based on bandwidth
Default;Suspicious Content;Permit;false;;Do not block based on bandwidth
Default;Suspicious Embedded Link;Block;false;;Do not block based on bandwidth
Default;Tasteless;Block;false;;Do not block based on bandwidth
Default;Text and Media Messaging;Quota;false;;Do not block based on bandwidth
Default;Traditional Religions;Quota;false;;Do not block based on bandwidth
Default;Travel;Quota;false;;Do not block based on bandwidth
Default;Twitter Follow;Permit;false;;Do not block based on bandwidth
Default;Twitter Mail;Permit;false;;Do not block based on bandwidth
Default;Twitter Posting;Permit;false;;Do not block based on bandwidth
Default;Unauthorized Mobile Marketplaces;Permit;false;;Do not block based on bandwidth
Default;Uncategorized;Permit;false;;Do not block based on bandwidth
Default;User-Defined;Permit;false;;Do not block based on bandwidth
Default;Vehicles;Quota;false;;Do not block based on bandwidth
Default;Violence;Block;false;;Do not block based on bandwidth
Default;Viral Video;Quota;false;;Do not block based on bandwidth
Default;Weapons;Block;false;;Do not block based on bandwidth
Default;Web Analytics;Permit;false;;Do not block based on bandwidth
Default;Web and Email Marketing;Permit;false;;Do not block based on bandwidth
Default;Web and Email Spam;Block;false;;Do not block based on bandwidth
Default;Web Chat;Block;false;;Do not block based on bandwidth
Default;Web Collaboration;Permit;false;;Do not block based on bandwidth
Default;Web Hosting;Quota;false;;Do not block based on bandwidth
Default;Web Images;Permit;false;;Do not block based on bandwidth
Default;Web Infrastructure;Permit;false;;Do not block based on bandwidth
Default;Website Translation;Block;false;;Do not block based on bandwidth
Default;YouTube Commenting;Permit;false;;Do not block based on bandwidth
Default;YouTube Sharing;Permit;false;;Do not block based on bandwidth
Default;YouTube Video Upload;Permit;false;;Do not block based on bandwidth
1New - Default;Abortion;Block;false;;Do not block based on bandwidth
1New - Default;Abused Drugs;Block;false;;Do not block based on bandwidth
1New - Default;Adult Content;Block;false;;Do not block based on bandwidth
1New - Default;Adult Material;Block;false;;Do not block based on bandwidth
1New - Default;Advanced Malware Command and Control;Block;false;;Do not block based on bandwidth
1New - Default;Advanced Malware Payloads;Block;false;;Do not block based on bandwidth
1New - Default;Advertisements;Block;false;;Do not block based on bandwidth
