Name;Protocol;Action;Log Protocol;Bandwidth Optimizer
Default;SHOUTcast;Block;false;Do not block based on bandwidth
Default;SIMP (Jabber);Block;true;Do not block based on bandwidth
Default;Skype;Block;true;Do not block based on bandwidth
Default;Slingbox;Block;false;Do not block based on bandwidth
Default;SMTP;Block;false;Do not block based on bandwidth
Default;Social FM;Block;false;Do not block based on bandwidth
Default;SOCKS 5;Permit;false;Do not block based on bandwidth
Default;SocksOnline;Block;true;Do not block based on bandwidth
Default;SoftEther PacketiX;Block;false;Do not block based on bandwidth
Default;Solid State Delivery Platform;Block;false;Do not block based on bandwidth
Default;SoonR;Block;false;Do not block based on bandwidth
Default;SoulSeek;Block;true;Do not block based on bandwidth
Default;Spotify;Block;false;Do not block based on bandwidth
Default;SQL Net;Block;false;Do not block based on bandwidth
Default;ssh;Block;false;Do not block based on bandwidth
Default;TeamViewer;Block;false;Do not block based on bandwidth
Default;Telnet;Block;false;Do not block based on bandwidth
Default;Tencent QQ (see the Knowledge Base);Block;true;Do not block based on bandwidth
Default;Terminal Services;Block;false;Do not block based on bandwidth
Default;TongTongTong;Block;true;Do not block based on bandwidth
Default;Toonel;Block;true;Do not block based on bandwidth
Default;Tor;Block;true;Do not block based on bandwidth
Default;TryFast Messenger;Block;true;Do not block based on bandwidth
Default;Vimeo;Block;false;Do not block based on bandwidth
Default;VNC;Block;false;Do not block based on bandwidth
Default;Voxox;Block;false;Do not block based on bandwidth
Default;Vyew;Block;false;Do not block based on bandwidth
Default;VZOchat;Block;true;Do not block based on bandwidth
Default;WAIS;Permit;true;Do not block based on bandwidth
Default;WallCooler VPN;Block;false;Do not block based on bandwidth
Default;Wavago;Block;true;Do not block based on bandwidth
Default;WebEx (PCNow & Support Center);Block;false;Do not block based on bandwidth
Default;Wengo;Block;true;Do not block based on bandwidth
Default;Windows Media;Block;false;Do not block based on bandwidth
Default;Woize;Block;true;Do not block based on bandwidth
Default;Xfire;Block;true;Do not block based on bandwidth
Default;X-IM;Block;true;Do not block based on bandwidth
Default;Yahoo! Mail Chat;Block;true;Do not block based on bandwidth
Default;Yahoo! Messenger;Block;true;Do not block based on bandwidth
Default;Yahoo! Messenger attachments;Block;false;Do not block based on bandwidth
Default;Your Freedom;Block;true;Do not block based on bandwidth
Default;YouSendIt;Permit;false;Do not block based on bandwidth
Default;Yuuguu;Block;false;Do not block based on bandwidth
Default;Zolved;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Access Grid;Block;false;Do not block based on bandwidth
Block All bar HTTPS;Adobe Updater (WSG Only);Block;false;Do not block based on bandwidth
